exam_name,full_form,Exam Category,application_form_date,examination_date,result_date,Logo_Img_links,Mode_of_exam,detail_text
KCET,Karnataka Common Entrance Test,Design,02 Mar 24-08 May 24,20-May-24,15-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/KCET.jpg?h=66&w=66&mode=stretch,Written Test,"KCET is a state-level exam, conducted for admission to Engineering and B.Pharma courses"
CEED,Common Entrance Examination for Design,Design,30 Sept 23-10 Nov 23,22-Jan-24,7-Mar-24,https://images.collegedunia.com/public/college_data/images/logos/1423562575images.jpg?h=66&w=66&mode=stretch,Online Test,CEED 2023 is a national-level entrance examination conducted by IIT Bombay for admission to Master of Design (M.Des) and Ph.D. (Design) programs.
NPAT,National Test for Programs After Twelfth,Design,01 Dec 22-21 May 23,04 Jan 23-31 May 23,,https://images.collegedunia.com/public/college_data/images/logos/NMINS Logo.png?h=66&w=66&mode=stretch,Online Test,NPAT is university level entrance exam for admission to Undergraduate Degree and Integrated Degree Programs
NIFT,National Institute of Fashion Technology Entrance Test,Design,01 Nov 23-31 Dec 23,5-Feb-24,28-Apr-24,https://images.collegedunia.com/public/college_data/images/logos/1412683823jj.jpg?h=66&w=66&mode=stretch,Online Test,
UPES DAT,University of Petroleum and Energy Studies Design Aptitude Test,Design,09 Feb 23-12 Mar 23,21 May 23-07 Jun 23,,https://images.collegedunia.com/public/college_data/images/logos/UPES Lofo.jpg?h=66&w=66&mode=stretch,Online Test,"UPES DAT is a university level exam, conducted for admission in various UG and PG design courses"
AIEED,All India Entrance Examination for Design,Design,10 Nov 23-25 Jun 24,21 Dec 23-30 Jun 24,,https://images.collegedunia.com/public/college_data/images/logos/1415109202download.jpg?h=66&w=66&mode=stretch,Online Test,
CUET,Common Universities Entrance Test,Design,09 Feb 24-30 Mar 24,15 May 24-30 May 24,15-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/ntaLOGO.jpg?h=66&w=66&mode=stretch,Written Test,"CUET is a national level examination, for admission into various UG, PG & other courses"
NID,National Institute of Design Entrance Exam,Design,12 Dec 23-08 Sept 23,24-Dec-23,24-Mar-24,https://images.collegedunia.com/public/college_data/images/logos/NID Logo.png?h=66&w=66&mode=stretch,Written Test,
VITMEE,VIT Masters Entrance Examination,Design,25 Jan 24-31 Mar 24,16 Apr 24-23 Apr 24,12-May-24,https://images.collegedunia.com/public/college_data/images/logos/VIT.png?h=66&w=66&mode=stretch,Online Test,"VITMEE exam is conducted for admission to MCA, M.Tech/M.Tech and Integrated Ph.D programs in VIT"
CUET PG,Common Universities Entrance Test Post Graduate,Design,30 Jan 24-16 Feb 24,11 Mar 24-28 Mar 24,20-Jul-24,https://images.collegedunia.com/public/college_data/images/logos/NTA-logo.jpg?h=66&w=66&mode=stretch,Online Test,
CEPT Entrance Exam,Center for Environmental Planning and Technology Entrance Exam,Design,13 Jun 23-03 Mar 23,17-Jun-23,30-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/CEPT_new_logo.png?h=66&w=66&mode=stretch,Written Test,
DSAT,Dayanand Sagar Admission Test,Design,18 Dec 22-20 May 23,24-May-23,,https://images.collegedunia.com/public/college_data/images/logos/dsat logo.png?h=66&w=66&mode=stretch,Online Test,"DSAT is a university level entrance exam organized by Dayanand Sagar University, conducted for admission to various UG and PG program in DSU"
GLS Institute of Design DAT,GLS Institute of Design Aptitude Test,Design,02 Jan 23-21 Jan 23,28-Jan-23,,https://images.collegedunia.com/public/college_data/images/logos/DE10.png?h=66&w=66&mode=stretch,Written Test,
UBTER JEEP,Uttarakhand Board Of Technical Education Joint Entrance Exam Polytechnic,Design,25 Apr 23-25 May 23,9-Jun-23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/JEEP LOGO.png?h=66&w=66&mode=stretch,Written Test,UBTER JEEP Entrance Exam is conducted for admission to various diploma programs in the fields of engineering and pharmacy
SOFT CET,School of Fashion Technology Common Entrance Test,Design,15 Nov 22-31 Dec 22,2-Feb-23,9-Feb-23,https://images.collegedunia.com/public/college_data/images/logos/SOFT Logo.png?h=66&w=66&mode=stretch,Online Test,
CMRUAT,CMR University Admission Test,Design,04 Jan 23-19 Jun 23,26-Jun-23,,https://images.collegedunia.com/public/college_data/images/logos/cmruat logo.PNG?h=66&w=66&mode=stretch,Online Test,CMRUAT is a University level examination conducted to admission in various UG and PG courses offered by CMR University
SPSAT,Sri Padampat Singhania Admission Test,Design,22 Feb 23-26 Jun 23,6-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/ps wisdom logo.png?h=66&w=66&mode=stretch,Online Test,SPSAT is an online entrance test conducted for admission in various Management and Engineering courses
UPTAC,Uttar Pradesh Technical Admission Counselling,Design,24 Jul 23-20 Aug 23,,,https://images.collegedunia.com/public/college_data/images/logos/UPTAC.jpg?h=66&w=66&mode=stretch,Written Test,
MP Counselling,Madhya Pradesh Counselling,Design,,,,https://images.collegedunia.com/public/college_data/images/logos/MP Counselling Logo.jpg?h=66&w=66&mode=stretch,Written Test,
MAH AAC CET,Maharashtra Applied Arts and Crafts Common Entrance Test,Design,10 Apr 23-09 Mar 23,16-Apr-23,,https://images.collegedunia.com/public/college_data/images/logos/LLB_watermark_updated.png?h=66&w=66&mode=stretch,Online Test,
IICD,Indian Institute of Crafts and Design,Design,21 Oct 22-21 Jan 23,16-Apr-23,28-Apr-23,https://images.collegedunia.com/public/college_data/images/logos/IICD.png?h=66&w=66&mode=stretch,Written Test,
LPUNEST,LPU National Entrance and Scholarship Test,Design,20 Sept 23-16 Jan 24,20 Jan 24-05 Feb 24,,https://images.collegedunia.com/public/college_data/images/logos/LPU logo.png?h=66&w=66&mode=stretch,Online Test,LPUNEST is admission test for the LPU University
IIAD Entrance Exam,Indian Institute of Art and Design Entrance Exam,Design,14 Mar 23-14 Apr 23,22-Apr-23,,https://images.collegedunia.com/public/college_data/images/logos/IIAD logo_220px (2) (1) (1).jpg?h=66&w=66&mode=stretch,Written Test,
PESSAT,PES Scholastic Aptitude Test,Design,20 Oct 22-16 May 23,17 May 23-05 Jun 23,8-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/pessat.jpeg?h=66&w=66&mode=stretch,Online Test,"PESSAT is a university level exam, conducted by PES University, Bangalore every year for admission to UG and PG programs"
UPCET,Uttar Pradesh Combined Entrance Test,Design,01 Apr 23-26 May 23,2-Jul-23,8-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/images (1).jpg?h=66&w=66&mode=stretch,Online Test,
FDDI AIST,Footwear Design and Development Institute All India Selection Test,Design,15 Dec 22-05 Jun 23,18-Jun-23,30-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/18-fddi.jpg?h=66&w=66&mode=stretch,Written Test,FDDI Entrance Test (FDDI AIST) is a paper-based exam conducted for admission to various Bachelor’s Degree & Master’s Degree Programmes offered by the institute.
SAEEE,Sathyabhama All India Entrance Exam,Design,05 Dec 23-31 Mar 24,19 May 24-21 May 24,,https://images.collegedunia.com/public/college_data/images/logos/logo 2.png?h=66&w=66&mode=stretch,Online Test,SAEEE conducts every year for the students applying for the engineering programs like B.E/ B.Tech/ B.Arch/ B.Des.
KIITEE,Kalinga Institute of Industrial Technology Entrance Exam,Design,02 Sept 23-15 Apr 24,19 Jan 24-21 Jan 24,25-Jan-24,https://images.collegedunia.com/public/college_data/images/logos/kiit-entrance-exam.png.jpg?h=66&w=66&mode=stretch,Online Test,"KIITEE is conducted by KIIT for admission to UG, PG engineering and law courses"
SUAT,Sharda University Admission Test,Design,03 Jan 23-02 Jun 23,18-Jun-23,17-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/SUAT LOGO.jpg?h=66&w=66&mode=stretch,Online Test,"SUAT is an university level exam, conducted by Sharda University for admission to courses such as B.Tech., BCA, MCA, B.Tech"
ITM NEST,ITM National Entrance and Scholarship Test,Design,21 Feb 23-21 Apr 23,11-May-23,5-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/itm nest logo.png?h=66&w=66&mode=stretch,Online Test,ITM NEST is a common entrance examination for admission to various programs offered by ITM University Gwalior
TUEE,Tezpur University Entrance Exam,Design,24 Mar 24-07 May 24,26 May 24-28 May 24,30-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/tu_logo.png?h=66&w=66&mode=stretch,Written Test,"TUEE exam conducted by Tezpur University, Assam for admission in various integrated, post-graduate, pg diploma and certificate courses"
VEE,Vels Entrance Examination,Design,01 Mar 23-01 Jun 23,1-Jul-23,,https://images.collegedunia.com/public/college_data/images/logos/VELS.jpg?h=66&w=66&mode=stretch,Written Test,VEE is a qualifying entrance exam for admission to UG and PG programs offered by VELS University Chennai
UCEED,Undergraduate Common Entrance Examination for Design,Design,30 Sept 24-16 Nov 24,22-Jan-24,9-Mar-24,https://images.collegedunia.com/public/college_data/images/logos/iit bombay.png?h=66&w=66&mode=stretch,Online Test,"UCEED is a design entrance exam conducted by IIT Bombay to shortlist the candidates for B.Des admission in IIT Bombay, Delhi, Guwahati, Hyderabad and IIITDM Jabalpur."
GD Goenka scholarship test,GD Goenka scholarship test,Design,02 May 23-25 May 23,5-Jun-23,3-Jul-23,https://images.collegedunia.com/public/college_data/images/logos/download (1).png?h=66&w=66&mode=stretch,Online Test,
JKLU DET,JK Lakshmipat University Design Entrance Test,Design,,,,https://images.collegedunia.com/public/college_data/images/logos/JKLU DET Logo.png?h=66&w=66&mode=stretch,Written Test,
CBSE CLASS XII,CBSE Class Twelve Board Exam,class-12-exams,18 Aug 23-19 Sept 23,15 Feb 24-10 Apr 24,26-May-24,https://images.collegedunia.com/public/college_data/images/logos/20170528202850!Cbse-logo.png?h=66&w=66&mode=stretch,Written Test,
PSEB,Punjab Board of Secondary Education,class-12-exams,20 Feb 23-20 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/PSEB-12th-Result-2019.jpg?h=66&w=66&mode=stretch,Written Test,
Apdhte,Directorate of Higher and Technical Education Arunachal,class-12-exams,,,,https://images.collegedunia.com/public/college_data/images/logos/DSEAP-e1475513396110.jpg?h=66&w=66&mode=stretch,Written Test,
UBSE,Board Of School Education Uttarakhand,class-12-exams,16 Mar 23-06 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/ukkkk.jpg?h=66&w=66&mode=stretch,Written Test,
Jharkhand Board,JAC Board Secondary Exam,class-12-exams,14 Mar 23-05 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/JAC-logo2-1.jpg?h=66&w=66&mode=stretch,Written Test,
NIOS,National Institute of Open Schooling,class-12-exams,,,,https://images.collegedunia.com/public/college_data/images/logos/NIOS-Logo.png?h=66&w=66&mode=stretch,Written Test,
AHSEC Class XII Exam,Assam Higher Secondary Education Council,class-12-exams,20 Feb 23-20 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/2019-20-12-11-49-02_AHSEC.jpg?h=66&w=66&mode=stretch,Written Test,
CHSE Odisha,Odisha Board Higher Secondary Examination,class-12-exams,01 Mar 23-05 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/ob.jpg?h=66&w=66&mode=stretch,Written Test,
ISC,ISC Board Exam,class-12-exams,13 Feb 23-31 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/icse.png?h=66&w=66&mode=stretch,Written Test,
BIEAP,Andhra Pradesh Board Exam,class-12-exams,16 Mar 23-04 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/andhra-pradesh-board-2017.jpg?h=66&w=66&mode=stretch,Written Test,
GSEB,Gujarat Secondary and Higher Secondary Education Board,class-12-exams,14 Mar 23-29 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/download (25).jpg?h=66&w=66&mode=stretch,Written Test,
WBCHSE,West Bengal Madhyamik Examination,class-12-exams,14 Mar 23-27 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/West Bengal Board.jpg?h=66&w=66&mode=stretch,Written Test,
TNDGE,Tamil Nadu Board of Higher Secondary Education,class-12-exams,13 Mar 23-03 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/tnbse.png?h=66&w=66&mode=stretch,Written Test,
MSBSHSE,Maharashtra Board Senior and Higher Secondary Examination,class-12-exams,21 Feb 24-21 Mar 24,25-May-24,,https://images.collegedunia.com/public/college_data/images/logos/mah.jpg?h=66&w=66&mode=stretch,Written Test,
TBSE,Tripura Board of Secondary Education,class-12-exams,15 Mar 23-19 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/tbse1.jpg?h=66&w=66&mode=stretch,Written Test,
NBSE,Nagaland Board of School Education,class-12-exams,09 Mar 23-31 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/nbse.gif?h=66&w=66&mode=stretch,Written Test,
JKBOSE,Jammu and Kashmir State Board of School Education,class-12-exams,08 Mar 23-02 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/jammu-kashmir-board-logo.jpg?h=66&w=66&mode=stretch,Written Test,
RBSE,Rajasthan Board of Secondary Education,class-12-exams,09 Mar 23-12 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/rb.jpg?h=66&w=66&mode=stretch,Written Test,
UP Board,Uttar Pradesh Board Exam,class-12-exams,16 Feb 23-04 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/up board.jpeg?h=66&w=66&mode=stretch,Written Test,
Bihar Board,Bihar Board Exam,class-12-exams,01 Feb 23-11 Feb 23,,,https://images.collegedunia.com/public/college_data/images/logos/BIHAR Board.jpeg?h=66&w=66&mode=stretch,Written Test,
MBOSE,Meghalaya Board of School Education,class-12-exams,01 Mar 23-28 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/MBOE.jpg?h=66&w=66&mode=stretch,Written Test,
CGBSE,Chhattisgarh Board of Secondary Education,class-12-exams,01 Mar 23-31 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/CG-BOARD.png?h=66&w=66&mode=stretch,Written Test,
GBSHSE,Goa Board of Secondary and Higher Secondary Education,class-12-exams,15 Mar 24-31 Mar 24,,,https://images.collegedunia.com/public/college_data/images/logos/board_logo.jpg?h=66&w=66&mode=stretch,Written Test,
Haryana Board,Haryana Board Exams,class-12-exams,27 Feb 23-28 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/logo.png?h=66&w=66&mode=stretch,Written Test,
MPBSE,Madhya Pradesh Board Exam,class-12-exams,02 Mar 23-01 Apr 23,,,"https://images.collegedunia.com/public/college_data/images/logos/Board_of_Secondary_Education,_Madhya_Pradesh_logo.jpg?h=66&w=66&mode=stretch",Written Test,
MBSE,Mizoram Board,class-12-exams,,,,https://images.collegedunia.com/public/college_data/images/logos/mz.jpg?h=66&w=66&mode=stretch,Written Test,
KBPE,Kerala Board of Higher Secondary Education,class-12-exams,10 Mar 23-30 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/kerala.png?h=66&w=66&mode=stretch,Written Test,
HPBOSE,Himachal Pradesh Board Of School Education,class-12-exams,10 Mar 23-31 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/hpb.jpg?h=66&w=66&mode=stretch,Written Test,
KSEEB,Karnataka Secondary Education Examination Board,class-12-exams,09 Mar 23-29 Mar 23,,,https://images.collegedunia.com/public/college_data/images/logos/kseeb.jpg?h=66&w=66&mode=stretch,Written Test,
BSEM,Board of Secondary Education Manipur,class-12-exams,23 Feb 23-01 Apr 23,,,https://images.collegedunia.com/public/college_data/images/logos/BSEM.jpg?h=66&w=66&mode=stretch,Written Test,
CBSE,Central Board of Secondary Education,class-12-exams,,,,https://images.collegedunia.com/public/college_data/images/logos/CBSE LOGO.png?h=66&w=66&mode=stretch,Written Test,
NEET,National Eligibility Cum Entrance Test,Dental,06 Mar 24-04 May 24,5-May-24,13-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/NTA- Logo.png?h=66&w=66&mode=stretch,Written Test,NEET is a National Eligibility cum Entrance Test conducted by NTA i.e. National Testing Agency.
KEAM,Kerala Engineering Agricultural Medical Entrance Examination,Dental,18 Mar 24-04 May 24,17-May-24,31-May-24,https://images.collegedunia.com/public/college_data/images/logos/1430472788Government_of_kerela (1).jpg?h=66&w=66&mode=stretch,Written Test,"KEAM is a state level exam conducted by the Commissioner of Entrance Examination (CEE), Kerala, for admission into the UG Engineering programs."
IPU CET,Guru Gobind Singh Indraprastha University Common Entrance Test,Dental,24 Mar 24-15 May 24,,,https://images.collegedunia.com/public/college_data/images/logos/IPU Logo.png?h=66&w=66&mode=stretch,Written Test,"IPU CET is a university-level entrance exam for admission to UG & PG courses in engineering, medical, dental, law, and management"
JIPMER,Jawaharlal Institute of Post graduate Medical Education and Research,Dental,14 Dec 22-13 Apr 23,17-May-23,2-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/jipmar.png?h=66&w=66&mode=stretch,Online Test,"Jawaharlal Institute of Postgraduate Medical Education and Research, Puducherry is known as JIPMER"
GCET,Goa Common Entrance Test,Dental,02 Feb 23-27 Feb 23,14-May-23,12-Jun-23,https://images.collegedunia.com/public/college_data/images/logos/1425965876gcet-logo1.jpg?h=66&w=66&mode=stretch,Written Test,"GCET is a state level offline entrance examination for admissions to Professional Degree courses in Engineering and Pharmacy, in the state of Goa"
AIIMS PG,All India Institute Of Medical Sciences Post Graduate,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/AIIMS MBBS.png?h=66&w=66&mode=stretch,Online Test,
Madhya Pradesh NEET Counselling,Madhya Pradesh NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Madhya Pradesh NEET Counselling.png?h=66&w=66&mode=stretch,Online Test,
Rajasthan NEET Counselling,Rajasthan NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Ruhs_Logo_Final.png?h=66&w=66&mode=stretch,Written Test,
Andhra Pradesh NEET Counselling,Andhra Pradesh NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/emblem-dark.png?h=66&w=66&mode=stretch,Written Test,"RUET is an university level entance exam, conducted for admission in various UG, PG and P.hd courses"
Kerala NEET Counselling,Kerala NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Kerala NEET Counselling.jpg?h=66&w=66&mode=stretch,Online Test,
Tamil Nadu NEET Counselling,Tamil Nadu NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Tamil Nadu NEET Counselling.png?h=66&w=66&mode=stretch,Online Test,SAAT is a National level exam conducted for admission into various UG and PG courses
Punjab NEET Counselling,Punjab NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Punjab NEET.png?h=66&w=66&mode=stretch,Online Test,
UGMAC,Bihar Under Graduate Medical Admission Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Screenshot 2023-08-04 at 5.13.15 PM.png?h=66&w=66&mode=stretch,Written Test,
Odisha NEET Counselling,Odisha NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/OJEE.png?h=66&w=66&mode=stretch,Written Test,
Arunachal Pradesh NEET Counselling,Arunachal Pradesh NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/Arunachal Pradesh Logo.png?h=66&w=66&mode=stretch,Written Test,
Jharkhand NEET Counselling,Jharkhand NEET Counselling,Dental,,,,https://images.collegedunia.com/public/college_data/images/logos/jcecebLogo.png?h=66&w=66&mode=stretch,Written Test,
