College Name,Logo URL,Upper Section Details,College Rating,College Summary,Fees and Eligibility
Sikkim Manipal Institute of Medical Sciences,https://images.collegedunia.com/public/college_data/images/logos/1474115196photo.jpg1.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'MCI', 'Establishment': 'Estd 1997', 'University Type': 'Private'}",7.2,,"[{'Course': 'MBBS', 'Fees': '₹17.2 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 50% + NEET'}, {'Course': 'M.D', 'Fees': '₹5 Lakhs (1st Year Fees) ', 'Eligibility': 'MBBS  + NEET'}, {'Course': 'B.Sc + M.Sc', 'Fees': '₹98,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Sc', 'Fees': '₹1.03 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'M.S', 'Fees': '₹28.8 Lakhs (1st Year Fees) ', 'Eligibility': 'MBBS + NEET'}, {'Course': 'B.Sc', 'Fees': '₹1.22 Lakhs (1st Year Fees) ', 'Eligibility': '10+2'}]"
"ICFAI University, Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1482816709logo_sikkim.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'BCI, UGC, DEB', 'Establishment': 'Estd 2004', 'University Type': 'Deemed University'}",6.9,This university is famous for international tie-ups and industry collaborations for students.  It is one of the top-ranked private universities. University is also a member of AIU.,"[{'Course': 'MBA', 'Fees': '₹1.62 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BA {Hons.}', 'Fees': '₹52,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BBA', 'Fees': '₹66,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'B.Sc', 'Fees': '₹66,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BCA', 'Fees': '₹72,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'MA', 'Fees': '₹70,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Com {Hons.}', 'Fees': '₹52,000 (1st Year Fees) ', 'Eligibility': '10+2'}]"
"National Research Centre for Orchids - [ICAR], East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1422251501logogff.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'ICAR', 'Establishment': 'Estd 1996', 'University Type': 'Public Institute'}",,,--------------
Sikkim Manipal University,https://images.collegedunia.com/public/college_data/images/logos/1649923194smulogo2020.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, INC, MCI, UGC', 'Establishment': 'Estd 1992', 'University Type': 'Private University'}",8.0,"Sikkim Manipal University is recognised by the University Grants Commission (UGC) and the All India Council of Technical Education (AICTE). It was established in 1995 in Gangtok, Sikkim. Sikkim Manipal University (SMU) offers 16 undergraduate, 18 postgraduate, diploma in medical biotechnology, and doctoral courses in all fields. Sikkim Manipal University has divided these courses in the two campuses- Sikkim Manipal Institute of Technology (SMIT) and Sikkim Manipal Institute of Medical Sciences (SMIMS). Sikkim Manipal University course admissions are based on both merit and entrance exams.","[{'Course': 'MBBS', 'Fees': '₹17.2 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 50%'}, {'Course': 'MBA', 'Fees': '₹2.8 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation with 50%'}, {'Course': 'BCA', 'Fees': '₹98,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50%'}, {'Course': 'B.Tech', 'Fees': '₹3.25 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 50%'}, {'Course': 'Ph.D', 'Fees': '₹40,000 (1st Year Fees) ', 'Eligibility': 'Post Graduation'}, {'Course': 'M.Sc', 'Fees': '₹1.31 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'M.Tech', 'Fees': '₹1.84 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation  with 55%'}]"
NIT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1568355249download.png?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': 'AICTE, UGC', 'Establishment': 'Estd 2010', 'University Type': 'Autonomous University'}",7.8,"NIT Sikkim is UGC recognised autonomous university. Established in 2010, NIT Sikkim is ranked 151 in the engineering category by NIRF 2023. NIT Sikkim offers undergraduate, postgraduate and doctorate degrees. NIT Sikkim has been accorded the status of an Institution of National Importance by the Government of India and approved by AICTE. The most popular program of NIT Sikkim is BTech CSE. NIT Sikkim offers 8 specialization in the BTech course. Admission to the NIT Sikkim BTech course is done on the basis of JEE Mains rank. The admission procedure is then followed by a counselling procedure. The overall cutoff for JEE-Main 2023 is 162246 - 475866 rank for general category. Check: NIT Sikkim Admission","[{'Course': 'B.Tech', 'Fees': '₹1.51 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 75% + JEE Main'}, {'Course': 'Ph.D', 'Fees': '₹44,650 (1st Year Fees) ', 'Eligibility': 'Post Graduation'}, {'Course': 'M.Sc', 'Fees': '₹39,100 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'M.Tech', 'Fees': '₹93,310 (1st Year Fees) ', 'Eligibility': 'Graduation + GATE'}]"
"Vinayaka Missions Sikkim University - [VMSU], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1428918165jpeg.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2008', 'University Type': 'Private University'}",7.8,"Vinayaka Missions Sikkim University (VMSU)  was set up in the year 2008, and it is approved by UGC. The latest achievement of the college includes the “Teaching Excellence Award.” This university is primarily famous for Management Studies, Humanities, and Science. It provides both the mode of education facilities direct education and distance education. The university offers undergraduate, postgraduate, doctorate, and diplomas courses across four streams. Some of the popular courses are BA, B.Com, MBA, B.Sc.The admission in this college strictly depends upon the merit of the students. Application to the college can be filled online as well as offline mode.","[{'Course': 'BA', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'B.Sc', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'D.Pharm', 'Fees': '₹1.76 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'MBA', 'Fees': '₹1.62 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'BBA', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'B.Com', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}]"
"SRM University Sikkim, Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1506504412images.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2013', 'University Type': 'Private University'}",8.1,"Shri Ramasamy Memorial University - [SRM], Sikkim at Gangtok is a private university established in the year 2013. The university was established under Shri Ramasamy Memorial University, Sikkim Act 2013. It is affiliated by UGC and NAAC-B. It is also placed in the A category by the Ministry of Human Resource Development. ","[{'Course': 'B.Sc', 'Fees': '₹43,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'MBA', 'Fees': '₹1.3 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'MA', 'Fees': '₹55,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BA {Hons.}', 'Fees': '₹38,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BCA', 'Fees': '₹60,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BBA', 'Fees': '₹60,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Com', 'Fees': '₹55,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}]"
SMIT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1611209243smitlogosmall1png.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, NBA', 'Establishment': 'Estd 1997', 'University Type': 'Private'}",8.7,,--------------
CAEPHT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1561534392croppedlogote1467129688972.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2006', 'University Type': 'Public'}",6.5,,--------------
"Damber Singh College, East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/col949.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, UGC', 'Establishment': 'Estd 1994', 'University Type': 'Private Institute'}",8.0,,--------------
Nar Bahadur Bhandari Degree College,https://images.collegedunia.com/public/college_data/images/logos/1427533854186.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': '', 'Establishment': '', 'University Type': 'Private Institute'}",7.6,"Nar Bahadur Bhandari Degree College, previously known as Sikkim Government College was founded in the year 1977. It is governed by the Directorate of Higher Education, HRDD, Govt. of Sikkim and is affiliated to Sikkim University. The college offers 19 UG programs and 5 PG programs to satisfy the need for quality education in Sikkim. Admission to the programs takes place following an administered and transparent process. Its campus is spread over 22 acres with well-organized classrooms, labs, computers to create a conducive academic environment.",--------------
Himalayan Pharmacy Institute,https://images.collegedunia.com/public/college_data/images/logos/1425361216col9489.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, PCI', 'Establishment': 'Estd 2007', 'University Type': 'Private'}",7.4,,--------------
"Sikkim Manipal College of Physiotherapy - [SMCPT], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1474012647photo.jpg1.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'IAP', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.5,,--------------
"Sikkim Manipal College of Nursing - [SMCON], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1626096095smconlogo2020.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'INC', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.1,,--------------
"Harkamaya College of Education, East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1423891391p..png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'NCTE, UGC', 'Establishment': 'Estd 2003', 'University Type': 'Private'}",8.2,,--------------
"Loyola College of Education, South Sikkim",https://images.collegedunia.com/public/college_data/images/logos/?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': 'NCTE', 'Establishment': '', 'University Type': 'Private'}",,,--------------
Sikkim University,https://images.collegedunia.com/public/college_data/images/logos/1394440204Sikkim University.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2007', 'University Type': 'Central University'}",7.9,"Sikkim University is a central university located in Gangtok. Established in 2007, the university is recognised by the UGC and ranked 151 among top 2000 universities in NIRF 2023 rankings. The permanent campus of Sikkim University is built at Yangang in Namchi district, about 56 km from Gangtok.","[{'Course': 'BA', 'Fees': '₹7,282 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'MBA', 'Fees': '₹16,102 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% + CAT'}, {'Course': 'Ph.D', 'Fees': '₹19,822 (1st Year Fees) ', 'Eligibility': 'Post Graduation'}, {'Course': 'M.Sc', 'Fees': '₹7,852 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'MA', 'Fees': '₹5,230 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Sc', 'Fees': '₹7,282 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Com', 'Fees': '₹7,852 (1st Year Fees) ', 'Eligibility': 'Graduation'}]"
IHM Gangtok,https://images.collegedunia.com/public/college_data/images/logos/13941048772q.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 1990', 'University Type': 'Public'}",7.7,"Institute of Hotel Management (IHM), Gangtok was established in the year 1990 as a food craft institute. It was upgraded into the Institute of Hotel Management during the year 2000 and got affiliated to NCHMCT under the Ministry of Tourism, Govt. of India. The institute offers B.Sc. in Hospitality and Hotel Administration, Diploma and Certificate courses. All the programs are well-structured and taught under the guidance of qualified faculties. The degree or Diploma holders get employment in the most reputed hotels in the country and abroad.",--------------
"Directorate of Distance Education Sikkim Manipal University - [SMU-DE], East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1536047162ManipalLogo.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.3,Sikkim Manipal University Distance Education [SMU-DE] has been awarded as the “Best University in Distance Learning” by ASSOCHAM India. It has also won Silver Award in Digital Learning Transformation Category in 2018. The university offers total 6 undergraduate and postgraduate level courses in Management and Information Technology in distance mode. SMUDE has a vibrant alumni community with over 5 lakh alumni members. Check out other top distance MBA colleges and courses in India,"[{'Course': 'MCA', 'Fees': '₹36,500 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BCA', 'Fees': '₹32,500 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Sc', 'Fees': '₹40,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'MBA', 'Fees': '₹42,500 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Sc', 'Fees': '₹32,500 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BBA', 'Fees': '₹32,500 (1st Year Fees) ', 'Eligibility': '10+2'}]"
"Sikkim State University - [SSU], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1584080771sikkimlogonew.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2003', 'University Type': 'State University'}",,"Sikkim University is presently located in Gangtok, the capital town of Sikkim. The permanent campus measuring 300 acres is coming up at Yangang which is about 56 kms away from Gangtok in South Sikkim. The nearest airport is Bagdogra and railway station is New Jalpaiguri. ",--------------
"Sikkim Professional University, West Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1627969475logo.jpg?h=80&w=80&mode=stretch,"{'Place': 'West Sikkim,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2008', 'University Type': 'Private University'}",,,"[{'Course': 'M.Sc', 'Fees': '₹36,000 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% marks'}, {'Course': 'B.Sc', 'Fees': '₹24,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}, {'Course': 'B.Tech', 'Fees': '₹72,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}, {'Course': 'MA', 'Fees': '₹24,000 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% marks'}, {'Course': 'BCA', 'Fees': '₹32,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}, {'Course': 'MBA', 'Fees': '₹70,000 (1st Year Fees) ', 'Eligibility': 'Graduation with 50% marks'}, {'Course': 'BBA', 'Fees': '₹36,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}]"
"Sikkim Skill University, South Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1669119229download.png?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2021', 'University Type': 'Private University'}",,,--------------
"Medhavi Skills University, East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1671533299c09d1c70e00047c882ff3adf812a283b.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2021', 'University Type': 'Private University'}",8.9,,"[{'Course': 'MBA', 'Fees': '₹1.5 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Sc', 'Fees': '₹90,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'Diploma', 'Fees': '₹90,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'EMBA', 'Fees': '₹1.2 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BBA', 'Fees': '₹80,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BCA', 'Fees': '₹90,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'PG Diploma', 'Fees': '₹80,000 (Total Fees) ', 'Eligibility': 'Graduation'}]"
